Scout,Match Key,Team Key,Auto Leave,Auto L1 Success,Auto L1 Faliure,Auto L2 Success,Auto L2 Faliure,Auto L3 Success,Auto L3 Faliure,Auto L4 Success,Auto L4 Faliure,Tele L1 Success,Tele L1 Faliure,Tele L2 Success,Tele L2 Faliure,Tele L3 Success,Tele L3 Faliure,Tele L4 Success,Tele L4 Faliure,Auto Descore Success,Auto Descore Faliure,Auto Net Success,Auto Net Faliure,Auto Processor Success,Auto Processor Faliure,Tele Descore Success,Tele Descore Faliure,Tele Net Success,Tele Net Faliure,Tele Processor Success,Tele Processor Faliure,Defense Time,Broke,Notes,Deep Success,Deep Failure,Shallow Success,Shallow Failure,Park Success,Park Faliure,Incap
Jon,2025cc_qm27,2073,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,Didn’t record auto ,0,0,0,0,1,0,0
Richard wang,2025cc_qm28,972,1,0,0,0,0,0,0,2,0,0,0,2,1,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,1,0,0,0,0,0
Kyvan Chen,2025cc_qm28,5419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm28,1197,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,4,2,0,0,0,0,,1,0,0,0,0,0,0
Jacob,2025cc_qm28,973,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,One algae of auto should be in tele,0,0,0,0,1,0,0
Noah,2025cc_qm28,2046,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,0
AkioAdmin,2025cc_qm28,8048,1,0,0,0,0,1,0,0,0,0,1,1,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Halfway through, robot stopped being able to align and score coral",0,0,0,0,1,0,0
Tyler Yuan,2025cc_qm29,3663,1,0,0,0,0,0,0,1,0,2,0,2,0,1,0,2,0,2,1,2,0,0,0,2,0,5,0,0,0,0,0,,0,1,0,0,0,0,0
Richard wang,2025cc_qm29,2910,1,0,0,0,0,1,0,2,0,5,0,4,1,3,0,2,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,,0,1,0,0,0,0,0
Noah,2025cc_qm29,1678,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,,1,0,0,0,0,0,0
Kyvan Chen,2025cc_qm29,3478,1,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,,0,0,0,0,1,0,0
AkioAdmin,2025cc_qm29,5026,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,Robot got a coral stuck inside it and had to play defense the rest of the match. Was good at getting in the way of other alliances robots,1,0,0,0,0,0,0
Jacob,2025cc_qm29,9442,1,0,0,0,0,0,0,2,1,2,0,9,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crazy cycles ,0,0,0,0,0,1,0
Richard wang,2025cc_qm30,694,1,0,0,1,0,0,0,2,0,2,0,3,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm30,9408,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,2,1,2,0,2,0,0,0,1,0,5,0,0,0,0,0,,0,1,0,0,0,0,0
Jacob,2025cc_qm30,5940,1,0,0,0,0,0,0,3,0,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Lowkey rolled,1,0,0,0,0,0,0
Kyvan Chen,2025cc_qm30,6238,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0
jonathanyuen,2025cc_qm30,694,0,1,0,1,0,0,0,3,0,6,0,4,1,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"Very fast, accurate scorer",0,0,1,0,0,0,0
Noah,2025cc_qm30,1671,0,0,1,1,0,0,0,4,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mb I forgot to switch to tele,0,1,0,0,0,0,0
AkioAdmin,2025cc_qm30,8793,1,3,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Had some issues with coral intake from the source but for the most part it was fine,0,0,0,0,1,0,0
Kyvan Chen,2025cc_qm31,2046,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm31,6036,1,0,0,0,0,0,0,2,0,0,0,2,0,7,1,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,,0,0,0,0,1,0,0
Richard wang,2025cc_qm31,9084,1,0,0,0,0,0,0,2,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,0,0,0,0,1,0,0
Noah,2025cc_qm31,7157,1,0,0,0,0,0,0,0,1,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Looks cool, not functional ",0,1,0,0,0,0,0
AkioAdmin,2025cc_qm31,2813,1,0,1,1,0,0,0,0,0,5,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sometimes Took a while to intake coral, but scored pretty quickly",0,0,1,0,0,0,0
Kyvan Chen,2025cc_qm32,8033,1,0,0,0,0,0,0,3,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0
Richard wang,2025cc_qm32,846,1,0,0,0,0,0,0,2,0,0,0,4,0,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0
Tyler Yuan,2025cc_qm32,2073,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,1,0,0,0,0,,0,1,0,0,0,0,0
Noah,2025cc_qm32,4499,0,0,0,0,0,0,0,1,0,3,1,2,0,5,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,Hella fast,1,0,0,0,0,0,0
Jacob,2025cc_qm32,841,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I’m kyvan and I think butterfly’s are good with mayo,0,0,0,0,1,0,0
AkioAdmin,2025cc_qm32,4499,1,0,0,0,0,0,0,1,0,3,2,4,0,4,2,1,0,2,0,2,0,0,0,1,0,3,0,0,0,0,0,"Placement too fast for L1, so it kept missing but it slowed down for other levels ",1,0,0,0,0,0,0
Arnav,2025cc_qm33,4270,1,0,0,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0,0,1,0,0,0,0
Anusha,2025cc_qm33,5468,0,0,0,0,0,0,0,3,0,2,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0
Noah,2025cc_qm33,5507,1,2,0,0,0,0,0,1,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I forgot to switch to tele… again.😭,1,0,0,0,0,0,0
mehr,2025cc_qm33,3501,0,0,0,0,0,0,0,2,0,0,0,5,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Agustya Sinha,2025cc_qm33,3045,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,"basketball-like algae, fast climb. suggestion: make them score algae if we ally with them",1,0,0,0,0,0,0
Anusha,2025cc_qm34,254,0,0,0,0,0,1,0,0,2,4,0,5,0,4,0,5,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,,1,0,0,0,0,0,0
Arnav,2025cc_qm34,294,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,Goes on other side,0,0,0,1,0,0,0
Russell,2025cc_qm34,5419,1,0,0,0,0,0,0,0,1,0,0,2,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Had problems latching on at the cage. L4 inconsistent ,0,1,0,0,0,0,0
mehr,2025cc_qm34,604,0,0,0,0,0,0,0,3,0,2,0,9,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Great at scoring algae and coral quickly ,0,0,1,0,0,0,0
Noah,2025cc_qm34,4738,1,0,0,0,0,0,0,1,0,2,1,3,1,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I did not catch all of the auto,0,1,0,0,0,0,0
claramanolache ,2025cc_qm34,4414,0,0,0,1,0,1,0,3,0,3,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"fast climb , my data bad mb",0,0,0,1,0,0,0
claramanolache ,2025cc_qm34,4414,0,0,0,1,0,1,0,3,0,3,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"fast climb , my data bad mb",0,0,0,1,1,0,0
Russell,2025cc_qm35,5940,1,0,0,0,0,0,0,3,0,1,0,5,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,1,0,0,0,0,0,0
mehr,2025cc_qm35,971,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,,0,0,0,0,1,0,0
Anusha,2025cc_qm35,846,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,1,0,0,0,0
Noah,2025cc_qm35,972,0,0,0,0,0,0,0,3,0,0,0,3,1,2,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Gud on L4,0,1,0,0,0,0,0
Agustya Sinha,2025cc_qm35,9496,1,0,0,0,0,0,0,2,1,1,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"very good driver, very fast 3l4 auto",0,0,0,0,1,0,0
Brandon123345678913,2025cc_qm35,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,Played defense. Similar to draymond green esque gameplay. Very hard eefnder nice job.,1,0,0,0,0,0,0
Anusha,Anusha,1678,0,0,0,0,0,0,0,3,0,0,0,7,1,6,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,1,0,0,0,0,0,0
Arnav,2025cc_qm36,9450,0,0,0,0,0,0,0,1,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,,0,0,1,0,0,0,0
Agustya Sinha,2025cc_qm36,2813,1,0,0,0,0,0,0,0,0,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good l1 scoring,0,1,0,0,0,0,0
Russell,2025cc_qm36,694,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,"Wasn’t sure about auton as I can’t see it, but the bot had troubles moving ",1,0,0,0,0,0,0
mehr,2025cc_qm36,841,0,0,0,0,0,0,0,2,0,0,0,7,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good accuracy but not t very fast at scoring and no cage ,0,0,0,0,1,0,0
Brandon123345678913,2025cc_qm36,2910,1,0,0,0,0,0,0,3,1,2,0,7,0,6,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Scored on all levels other than processor. Did not miss user error. Sometimes missed intake Similar to JR Smith if you watch his highlights only but also not being able to do intake shows jr smiths lowlights. ,1,0,0,0,0,0,0
mehr,2025cc_qm37,8793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No robot??????,0,0,0,0,1,0,0
Anusha,2025cc_qm37,5419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Noah,2025cc_qm37,3045,0,0,0,0,0,0,0,2,0,2,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Lwk good,1,0,0,0,0,0,0
Brandon123345678913,2025cc_qm37,604,1,0,0,0,0,0,0,1,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,Very efficient scorer. Not very fast but has a funnel so does not miss intake. Pretty reliable. Similar to Jaylen brown in terms of production. ,1,0,0,0,0,0,0
Agustya Sinha,2025cc_qm37,2073,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,jank l1,1,0,0,0,0,0,0
Ivan,2025cc_qm38,581,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,1,0,0,0,0,0,0
Stanley,2025cc_qm38,5468,1,0,0,0,0,0,0,3,0,0,0,3,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Chilperic,2025cc_qm38,9084,1,0,0,0,0,0,1,1,0,0,0,3,0,5,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,1,0,30
Agustya Sinha,2025cc_qm38,254,1,0,0,0,0,2,0,3,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,wdy expect it’s 254,1,0,0,0,0,0,0
Ivan,2025cc_qm39,9442,1,0,0,0,0,0,0,1,0,3,3,5,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0
Chilperic,2025cc_qm39,1671,1,0,0,0,0,0,0,1,2,0,0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0
Stanley,2025cc_qm39,9408,1,0,0,0,0,0,0,1,0,0,0,3,0,5,0,3,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,,0,0,0,0,1,0,0
Chilperic,2025cc_qm40,2046,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,1,0,0
Stanley,2025cc_qm40,9496,1,0,0,0,0,0,0,3,0,0,0,5,0,3,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,1,0
Aryav V,2025cc_qm39,3478,1,0,0,0,0,0,0,1,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did u mean 3501? Who is 3478?,0,0,0,0,1,0,0
Chilperic,2025cc_qm41,4414,0,0,0,0,0,0,0,0,0,6,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,1,0,0
Stanley,2025cc_qm41,973,1,0,0,0,0,0,0,2,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,,1,0,0,0,0,0,0
Ivan,2025cc_qm41,3663,1,0,0,0,0,0,0,1,0,0,0,2,0,4,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,1,0,0
Aryav V,2025cc_qm41,1197,1,0,0,0,0,0,0,3,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0
Stanley,2025cc_qm42,1678,1,0,0,0,0,0,0,2,0,0,0,6,0,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0
Chilperic,2025cc_qm42,5468,1,0,0,0,0,0,0,3,0,0,0,5,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Aryav V,2025cc_qm42,6238,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,Got defended by other blue alliance robot,0,0,0,0,0,1,0
Tyler Yuan,2025cc_qm44,6036,1,0,0,0,0,0,0,2,1,3,0,0,0,6,0,3,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,,0,0,0,0,1,0,0
Chilperic,2025cc_qm44,3478,1,0,0,0,0,0,0,2,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0
Jon,2025cc_qm44,9496,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,1,0,0,0,0,0,0
jonathanyuen,2025cc_qm44,9408,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,Pretty solid for both algae and coral,0,0,1,0,0,0,0
Kyvan,2025cc_qm44,4738,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,"Climb takes a bit, was just guarding source ",1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm45,1671,1,0,0,0,0,0,0,2,1,0,0,3,1,4,1,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,1,0,0
Kyvan Chen,2025cc_qm45,1197,1,0,0,0,0,1,0,4,1,0,0,2,0,3,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,,1,0,0,0,0,0,0
Richard wang,2025cc_qm45,3663,1,0,0,0,0,0,0,1,0,1,0,3,1,4,1,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,,1,0,0,0,0,0,0
Kyvan,2025cc_qm45,841,1,0,0,0,0,0,0,0,1,1,0,6,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Climbed fast ,1,0,0,0,0,0,0
jonathanyuen,2025cc_qm45,5507,0,0,0,0,0,0,0,0,0,3,0,3,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Missed some of the scoring due to obstructed view. Decent for lower reef, but higher levels had worse performance.",0,0,0,0,0,1,0
AkioAdmin,2025cc_qm45,9084,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,Unstable when scoring on L4 bc it has to extend fully and the drive forward before scoring ,0,0,1,0,0,0,0
Kyvan Chen,2025cc_qm46,2813,1,1,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Kyvan,2025cc_qm46,971,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,Rly good at algae ,1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm46,4414,1,0,1,0,0,0,0,3,0,5,0,5,0,8,0,3,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,🎋🎋,1,0,0,0,0,0,0
jonathanyuen,2025cc_qm46,694,0,3,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,L1 and algae merchant,0,0,1,0,0,0,0
AkioAdmin,2025cc_qm46,581,1,0,0,1,0,0,0,2,0,3,0,3,1,5,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,Fast at scoring algae,1,0,0,0,0,0,0
Kyvan Chen,2025cc_qm47,604,1,0,0,0,0,0,0,1,0,0,0,5,0,5,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm47,8048,1,1,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Manual align,0,0,0,0,1,0,0
Kyvan,2025cc_qm47,846,1,0,0,0,0,0,0,2,1,0,0,1,0,3,0,4,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,,1,0,0,0,0,0,0
AkioAdmin,2025cc_qm47,7157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Was dead the entire match,0,0,0,0,0,1,130
jonathanyuen,2025cc_qm47,9450,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Slow and l1 algae merchant,0,0,1,0,0,0,0
Kyvan,2025cc_qm48,4270,1,0,0,0,0,1,0,2,0,0,0,2,1,8,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0
AkioAdmin,2025cc_qm48,254,0,0,0,0,0,2,0,3,0,8,1,6,0,5,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,insane,1,0,0,0,0,0,0
Tyler Yuan,2025cc_qm48,294,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,meh.  P good at barge,0,1,0,0,0,0,0
jonathanyuen,2025cc_qm48,4499,0,0,0,0,0,0,0,1,0,2,1,6,1,3,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,Fast cycle but missed a few. Able to do algae and all levels,0,0,1,0,0,0,0
Kyvan Chen,2025cc_qm49,8033,1,0,0,0,1,0,0,3,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,1,0,0,0,0,0
Richard wang,2025cc_qm49,3663,1,0,0,0,0,0,0,3,0,2,0,5,2,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0
Kyvan,2025cc_qm49,972,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,I’m kyvan and I like peanut butter cup ice cream with extra strawberry swirls ,1,0,0,0,0,0,0
jonathanyuen,2025cc_qm49,5419,0,0,0,0,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Missed some scoring due to obstructed view, but the robot had some intake issues. ",0,0,1,0,0,0,0
Tyler Yuan,2025cc_qm49,9442,1,0,0,0,0,0,0,1,1,5,1,1,1,5,1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,Weird L1 method.  Shoots vertically into the trough and bumps it in,0,0,0,0,1,0,0
AkioAdmin,2025cc_qm49,6238,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,7,3,0,0,0,0,Struggled raising the algae high enough to score in the net,1,0,0,0,0,0,0
poopoofard2,2025cc_qm57,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
Richard wang,2025cc_qm57,9442,1,0,0,0,0,0,0,2,0,1,0,7,0,8,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,0
Kyvan Chen,2025cc_qm57,8793,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,,0,0,1,0,0,0,0
jonathanyuen,2025cc_qm57,841,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fast cycle, good driver",0,0,1,0,0,0,0
Jacob ,2025cc_qm57,604,1,0,0,0,0,1,0,4,0,1,0,2,0,4,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,Only 2 coral for auto ,1,0,0,0,0,0,0
Richard wang,2025cc_qm58,2046,1,0,0,0,0,0,0,2,0,8,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bad alignment ,1,0,0,0,0,0,0
Stanley,2025cc_qm58,8048,1,0,0,0,0,1,0,1,0,1,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0
eric,2025cc_qm58,254,0,0,0,0,0,1,0,3,0,5,0,2,0,3,0,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,0,0,0,0,1,0,0
Jacob,2025cc_qm58,1671,1,0,0,0,0,0,0,1,0,2,0,2,0,3,0,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,1,0,0
Agustya Sinha,2025cc_qm58,1678,1,0,0,0,0,0,0,3,0,3,0,5,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"almost beached, did really well overall",1,0,0,0,0,0,0
jonathan chen,2025cc_qm58,9084,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,they stopped moving for a while not sure if it broke or not but then they started to climb,1,0,0,0,0,0,23
Richard wang,2025cc_qm59,2813,1,0,0,0,0,0,0,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Stanley,2025cc_qm59,5507,1,0,0,0,0,0,0,1,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0
Ivan,2025cc_qm59,3045,1,0,0,0,0,0,0,3,0,0,1,4,1,3,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,,1,0,0,0,0,0,0
jonathan chen,2025cc_qm59,3478,1,0,0,0,0,0,0,1,0,1,0,3,0,4,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,,0,0,0,0,1,0,0
Agustya Sinha,2025cc_qm59,581,1,0,0,2,0,0,1,2,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,coral got stuck in intake smh,1,0,0,0,0,0,0
jonathanyuen,2025cc_qm59,4270,0,0,0,0,0,0,0,1,2,6,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Had a bit of trouble w the e ground intake in the second half, can score anywhere, fast cycle ",0,0,1,0,0,0,0
Stanley,2025cc_qm60,2073,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,,1,0,0,0,0,0,0
Richard wang,2025cc_qm60,3663,1,0,0,0,0,0,0,1,0,2,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0
Ivan,2025cc_qm60,4414,1,1,0,0,0,0,0,3,0,7,0,4,0,4,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,,1,0,0,0,0,0,0
Jacob,2025cc_qm60,3501,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Super indecisive on what to do,0,0,0,0,1,0,0
Agustya Sinha,2025cc_qm60,7157,1,0,0,0,0,0,0,1,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1pc slow auto,0,0,0,0,1,0,0
jonathanyuen,2025cc_qm60,971,0,0,0,0,0,0,0,2,0,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,Can do algae merchant and all levels scoring. Pretty good all round.,0,0,0,1,0,0,0
